Part Name,Sold in Packs of,Site,Project Ref Code,Model/Config,Price,Link
Heat Shrink Tubing,1,Amazon,,532 pc, $7.99 ,https://www.amazon.com/Shrink-Tubing-Black-532pcs-innhom/dp/B075WR9FVL
Black Wire 16AWG,1,Digikey,,C76512B-50-ND, $15.59 ,https://www.digikey.com/products/en?keywords=C76512B-50-ND
Black Wire 20AWG,1,Digikey,,CN538B-50-ND, $12.56 ,https://www.digikey.com/products/en?keywords=CN538B-50-ND
Red Wire 16AWG,1,Digikey,,C76512R-50-ND, $15.59 ,https://www.digikey.com/products/en?keywords=C76512R-50-ND
Red Wire 20AWG,1,Digikey,,CN541R-50-ND, $15.59 ,https://www.digikey.com/products/en?keywords=CN541R-50-ND
Jumper Wire Pack,1,Adafruit,,6inch, $3.95 ,https://www.adafruit.com/product/826
0.1 Pitch Pin Header (40 pins),1,Digikey,,S1011EC-40-ND, $0.59 ,https://www.digikey.com/products/en?keywords=S1011EC-40-ND
4 Pin Header,1,Digikey,,S9014E-04-ND, $0.35 ,https://www.digikey.com/products/en?keywords=S9014E-04-ND
Encoder Board,1,Osh Park,E20,, $20.20 ,https://oshpark.com/
LED Board,1,Osh Park,E21,, $19.65 ,https://oshpark.com/
"4 and 8 "" Female/Female Jumper Wires",1,Amazon,,, $5.99 ,https://www.amazon.com/GenBasic-Female-Solderless-Breadboard-Prototyping/dp/B01L5ULRUA
#2-56 x 3/16 Button head Screws,25,McMaster,B13,91255A077, $3.78 ,https://www.mcmaster.com/91255A077
#2-56 x 3/8 Threaded Standoff,1,McMaster,T8,93330A252, $0.96 ,https://www.mcmaster.com/93330A252
Custom Acrylic Back plate,1,Sculpteo,S37B,, $11.75 ,https://www.sculpteo.com/
Custom Acrylic Electronics Board,1,Sculpteo,S28,, $15.25 ,https://www.sculpteo.com/
